"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Santa Rita","2011","08",2,70,28,56
"Santa Rita","2011","09",2,70,28,56
"Santa Rita","2011","10",2,73,29,56
"Santa Rita","2011","11",2,74,30,56
"Santa Rita","2011","12",2,75,30,56
"Santa Rita","2012","01",2,78,33,55
"Santa Rita","2012","02",2,78,33,55
"Santa Rita","2012","03",2,78,33,55
"Santa Rita","2012","04",2,78,37,55
"Santa Rita","2012","05",2,78,37,55
"Santa Rita","2012","06",2,78,37,56
"Santa Rita","2012","07",2,78,37,54
"Santa Rita","2012","08",2,78,37,55
"Santa Rita","2012","09",2,78,37,54
"Santa Rita","2012","10",2,78,37,54
"Santa Rita","2012","11",2,78,37,55
"Santa Rita","2012","12",2,86,39,62
"Santa Rita","2013","01",2,25,16,18
"Santa Rita","2013","02",2,25,16,27
"Santa Rita","2013","03",2,25,17,28
"Santa Rita","2013","04",2,23,16,29
"Santa Rita","2013","05",2,23,16,30
"Santa Rita","2013","06",2,29,18,37
"Santa Rita","2013","07",2,24,16,29
"Santa Rita","2013","08",2,24,16,29
"Santa Rita","2013","09",1,24,16,29
"Santa Rita","2013","10",1,24,16,29
"Santa Rita","2013","11",1,24,16,30
"Santa Rita","2013","12",1,24,16,31
"Santa Rita","2014","01",1,24,16,31
"Santa Rita","2014","02",1,54,17,47
"Santa Rita","2014","03",1,54,17,47
"Santa Rita","2014","04",1,53,17,45
"Santa Rita","2014","05",1,54,17,46
"Santa Rita","2014","06",1,56,18,58
"Santa Rita","2014","07",1,54,17,47
"Santa Rita","2014","08",1,59,22,47
"Santa Rita","2014","09",1,61,24,48
"Santa Rita","2014","10",1,60,23,48
"Santa Rita","2014","11",1,63,25,49
"Santa Rita","2014","12",1,76,33,55
"Santa Rita","2015","01",1,57,24,21
"Santa Rita","2015","02",4,87,36,54
"Santa Rita","2015","03",4,88,37,55
"Santa Rita","2015","04",4,88,37,54
"Santa Rita","2015","05",4,88,37,54
"Santa Rita","2015","06",4,88,37,55
"Santa Rita","2015","07",4,88,37,56
"Santa Rita","2015","08",4,88,37,56
"Santa Rita","2015","09",4,88,37,56
"Santa Rita","2015","10",4,88,37,56
"Santa Rita","2015","11",4,88,37,56
"Santa Rita","2015","12",4,91,39,60
"Santa Rita","2016","01",4,87,37,56
"Santa Rita","2016","02",4,86,37,56
"Santa Rita","2016","03",4,87,37,56
"Santa Rita","2016","04",4,87,37,56
"Santa Rita","2016","05",5,89,37,56
"Sapé","2009","01",2,23,3,1
"Sapé","2009","02",2,23,3,1
"Sapé","2009","03",2,23,3,1
"Sapé","2009","04",2,23,3,1
"Sapé","2009","05",2,23,3,1
"Sapé","2009","06",2,23,3,1
"Sapé","2009","07",2,23,3,1
"Sapé","2009","08",2,23,3,1
"Sapé","2009","09",2,23,3,1
"Sapé","2009","10",2,23,3,1
"Sapé","2009","11",2,23,3,1
"Sapé","2009","12",2,29,3,1
"Sapé","2010","01",2,18,3,1
"Sapé","2010","02",2,18,3,1
"Sapé","2010","03",2,18,3,1
"Sapé","2010","04",2,15,3,1
"Sapé","2010","05",2,15,3,1
"Sapé","2010","06",3,14,3,1
"Sapé","2010","07",2,14,3,1
"Sapé","2010","08",3,14,3,1
